benchmark,n,sample,time
compose_large,0,0,0.0030971704982221127
compose_large,0,1,0.0028820055013056844
compose_large,0,2,0.003097730499575846
compose_large,0,3,0.0030734797473996878
compose_large,0,4,0.003025261248694733
compose_large,0,5,0.003001903503900394
compose_large,0,6,0.0029283129988471046
compose_large,0,7,0.0030493252561427653
compose_large,0,8,0.003114160252152942
compose_large,0,9,0.0029421094950521365
compose_large,1,0,0.0019954094993105778
compose_large,1,1,0.0019429490009012322
compose_large,1,2,0.002029131166636944
compose_large,1,3,0.0019702508385914066
compose_large,1,4,0.0019724315012960383
compose_large,1,5,0.0019015715030642848
compose_large,1,6,0.002103378161943207
compose_large,1,7,0.0022299123326471695
compose_large,1,8,0.0019466864954059322
compose_large,1,9,0.0018951711632932227
compose_large,2,0,0.0020148671659020088
compose_large,2,1,0.001949471664071704
compose_large,2,2,0.001954628494180118
compose_large,2,3,0.001958278832413877
compose_large,2,4,0.0019334404981539894
compose_large,2,5,0.0019580323326711855
compose_large,2,6,0.0019415289959094177
compose_large,2,7,0.001938538160175085
compose_large,2,8,0.0019031403353437781
compose_large,2,9,0.001923337501163284
compose_large,3,0,0.0019863421621266752
compose_large,3,1,0.0019455768342595547
compose_large,3,2,0.0020040791714563966
compose_large,3,3,0.0019312898414985586
compose_large,3,4,0.001919176827262466
compose_large,3,5,0.0019289293365242581
compose_large,3,6,0.001898339328666528
compose_large,3,7,0.0019230759935453534
compose_large,3,8,0.0019145251620405663
compose_large,3,9,0.001902907999465242
compose_large,4,0,0.0020669345006657145
compose_large,4,1,0.00200598316344743
compose_large,4,2,0.0020259404943014183
compose_large,4,3,0.0019689233255727836
compose_large,4,4,0.0020627498355073235
compose_large,4,5,0.0019143988320138305
compose_large,4,6,0.0019083271715013932
compose_large,4,7,0.0019143944955430925
compose_large,4,8,0.0019205809997705121
compose_large,4,9,0.0019299643366442372
compose_large,5,0,0.002021810495837902
compose_large,5,1,0.0019400018403151382
compose_large,5,2,0.0019933063304051757
compose_large,5,3,0.0019517113299419482
compose_large,5,4,0.0020785974920727313
compose_large,5,5,0.0019991551719916365
compose_large,5,6,0.0019381098294009764
compose_large,5,7,0.001979114837013185
compose_large,5,8,0.0019434666707335662
compose_large,5,9,0.0018754021730273962
compose_large,6,0,0.0020656057982705533
compose_large,6,1,0.0021485700039193035
compose_large,6,2,0.0020676250103861095
compose_large,6,3,0.002024616999551654
compose_large,6,4,0.002111914404667914
compose_large,6,5,0.0019867255934514104
compose_large,6,6,0.0019924251944758
compose_large,6,7,0.0019862684071995317
compose_large,6,8,0.0019504224066622556
compose_large,6,9,0.001942930999211967
compose_large,7,0,0.002137062605470419
compose_large,7,1,0.002114384400192648
compose_large,7,2,0.002083189599215984
compose_large,7,3,0.0021780051989480852
compose_large,7,4,0.0021254527964629233
compose_large,7,5,0.0020355362095870076
compose_large,7,6,0.0020450951997190714
compose_large,7,7,0.001988375803921372
compose_large,7,8,0.001994984003249556
compose_large,7,9,0.0020172794000245632
compose_large,8,0,0.0021458207978866995
compose_large,8,1,0.002192383597139269
compose_large,8,2,0.0021530093974433838
compose_large,8,3,0.002196572592947632
compose_large,8,4,0.002107311401050538
compose_large,8,5,0.0020408321986906232
compose_large,8,6,0.00207522080745548
compose_large,8,7,0.0020298065966926513
compose_large,8,8,0.002033420803491026
compose_large,8,9,0.0020897633978165684
compose_large,9,0,0.0022756902035325766
compose_large,9,1,0.0022260245983488857
compose_large,9,2,0.002207653399091214
compose_large,9,3,0.0022005166043527423
compose_large,9,4,0.0022096752072684467
compose_large,9,5,0.002196110796649009
compose_large,9,6,0.0022408067947253586
compose_large,9,7,0.002233049797359854
compose_large,9,8,0.002256861189380288
compose_large,9,9,0.0022452348028309645
compose_large,10,0,0.0024962580064311624
compose_large,10,1,0.0025408270012121648
compose_large,10,2,0.0024794137571007013
compose_large,10,3,0.0024168722447939217
compose_large,10,4,0.0024800557584967464
compose_large,10,5,0.0024392464983975515
compose_large,10,6,0.0024151877441909164
compose_large,10,7,0.002451658496283926
compose_large,10,8,0.0023521919938502833
compose_large,10,9,0.0024055777466855943
compose_large,11,0,0.0031872580002527684
compose_large,11,1,0.0032370179978897795
compose_large,11,2,0.003227732260711491
compose_large,11,3,0.0031994467426557094
compose_large,11,4,0.00317592425562907
compose_large,11,5,0.0032599330006632954
compose_large,11,6,0.0030756920023122802
compose_large,11,7,0.003194832257577218
compose_large,11,8,0.003218349753296934
compose_large,11,9,0.0031771909998496994
compose_large,12,0,0.004247308999765664
compose_large,12,1,0.004251596323835353
compose_large,12,2,0.0042200766620226204
compose_large,12,3,0.004122846992686391
compose_large,12,4,0.004384592990390956
compose_large,12,5,0.004266474667626123
compose_large,12,6,0.0041531616589054465
compose_large,12,7,0.004322965648801376
compose_large,12,8,0.004158196330536157
compose_large,12,9,0.0042003813238504035
compose_large,13,0,0.006634575023781508
compose_large,13,1,0.0068419740127865225
compose_large,13,2,0.006745800987118855
compose_large,13,3,0.006787987513234839
compose_large,13,4,0.006908380513777956
compose_large,13,5,0.0061679965001530945
compose_large,13,6,0.006429058994399384
compose_large,13,7,0.006398220517439768
compose_large,13,8,0.0064178780012298375
compose_large,13,9,0.006512362480862066
compose_large,14,0,0.010911568999290466
compose_large,14,1,0.01160067698219791
compose_large,14,2,0.012067464995197952
compose_large,14,3,0.011439202993642539
compose_large,14,4,0.011100061004981399
compose_large,14,5,0.01049787801457569
compose_large,14,6,0.010852225997950882
compose_large,14,7,0.011307280045002699
compose_large,14,8,0.011314660019706935
compose_large,14,9,0.011685421981383115
compose_large,15,0,0.022656351036857814
compose_large,15,1,0.02037734998157248
compose_large,15,2,0.021299776970408857
compose_large,15,3,0.021612579992506653
compose_large,15,4,0.02103270700899884
compose_large,15,5,0.020696853986009955
compose_large,15,6,0.021350226015783846
compose_large,15,7,0.02087208698503673
compose_large,15,8,0.02145452203694731
compose_large,15,9,0.020176701014861465
compose_large,16,0,0.04663176595931873
compose_large,16,1,0.04595329100266099
compose_large,16,2,0.04209327994612977
compose_large,16,3,0.04348198202205822
compose_large,16,4,0.042762973986100405
compose_large,16,5,0.04511430097045377
compose_large,16,6,0.04408600099850446
compose_large,16,7,0.04203142301412299
compose_large,16,8,0.040086731023620814
compose_large,16,9,0.04046587203629315
compose_large,17,0,0.09150445502018556
compose_large,17,1,0.08406303398078308
compose_large,17,2,0.08609673200407997
compose_large,17,3,0.08935545198619366
compose_large,17,4,0.0841662060120143
compose_large,17,5,0.09210657299263403
compose_large,17,6,0.095285079034511
compose_large,17,7,0.09184224798809737
compose_large,17,8,0.09263812901917845
compose_large,17,9,0.08973715698812157
compose_large,18,0,0.18226669798605144
compose_large,18,1,0.16506541200214997
compose_large,18,2,0.1794306859956123
compose_large,18,3,0.16932262101909146
compose_large,18,4,0.2012248220271431
compose_large,18,5,0.17072977300267667
compose_large,18,6,0.17398033803328872
compose_large,18,7,0.16736505698645487
compose_large,18,8,0.16878266201820225
compose_large,18,9,0.1699732950073667
compose_large,19,0,0.4183467229595408
compose_large,19,1,0.361299053998664
compose_large,19,2,0.3559211600222625
compose_large,19,3,0.40024680201895535
compose_large,19,4,0.33562627900391817
compose_large,19,5,0.32641753600910306
compose_large,19,6,0.32224652799777687
compose_large,19,7,0.3499269430176355
compose_large,19,8,0.33400210802210495
compose_large,19,9,0.3549810749827884
compose_large,20,0,0.7340217710006982
compose_large,20,1,0.7248699350166135
compose_large,20,2,0.7176169229787774
compose_large,20,3,0.6900687320157886
compose_large,20,4,0.6897414249833673
compose_large,20,5,0.7032427719677798
compose_large,20,6,0.7214858310180716
compose_large,20,7,0.7175362859852612
compose_large,20,8,0.702433583966922
compose_large,20,9,0.7123576669837348
compose_small,0,0,0.0029892942548030987
compose_small,0,1,0.0029550945037044585
compose_small,0,2,0.0029813302535330877
compose_small,0,3,0.002966528249089606
compose_small,0,4,0.002987326748552732
compose_small,0,5,0.0030081379954935983
compose_small,0,6,0.0029647072515217587
compose_small,0,7,0.0029948115115985274
compose_small,0,8,0.003090956248342991
compose_small,0,9,0.0030871310009388253
compose_small,1,0,0.0019720324974817536
compose_small,1,1,0.002023151668254286
compose_small,1,2,0.0020258306661465517
compose_small,1,3,0.002020745499369999
compose_small,1,4,0.0019509874982759356
compose_small,1,5,0.0020010198350064456
compose_small,1,6,0.0020141271622075387
compose_small,1,7,0.002039953493901218
compose_small,1,8,0.0019950255033715316
compose_small,1,9,0.001997476996621117
compose_small,2,0,0.002050253164876873
compose_small,2,1,0.001960583661760514
compose_small,2,2,0.0019528814979518454
compose_small,2,3,0.0019549065036699176
compose_small,2,4,0.0020082736640082053
compose_small,2,5,0.001987868337891996
compose_small,2,6,0.0019473758293315768
compose_small,2,7,0.0019270261691417545
compose_small,2,8,0.0019107299934451778
compose_small,2,9,0.0019249194980754207
compose_small,3,0,0.0019451161691298087
compose_small,3,1,0.001972273826443901
compose_small,3,2,0.0019350379977064829
compose_small,3,3,0.002010585662598411
compose_small,3,4,0.0020082666693876186
compose_small,3,5,0.0019120131716287385
compose_small,3,6,0.0019466525021319587
compose_small,3,7,0.001972047670278698
compose_small,3,8,0.0019590914986717203
compose_small,3,9,0.0019442129996605217
compose_small,4,0,0.0020187066053040325
compose_small,4,1,0.002289485395886004
compose_small,4,2,0.002336276206187904
compose_small,4,3,0.0020434798090718685
compose_small,4,4,0.0020426632021553815
compose_small,4,5,0.0019139365991577505
compose_small,4,6,0.0019592750002630057
compose_small,4,7,0.0019520689966157079
compose_small,4,8,0.0019532061996869743
compose_small,4,9,0.001960703590884805
compose_small,5,0,0.0019613838327738145
compose_small,5,1,0.0019466980011202395
compose_small,5,2,0.0020459541604698948
compose_small,5,3,0.0019570153284197054
compose_small,5,4,0.0032503659992168346
compose_small,5,5,0.002014503668760881
compose_small,5,6,0.0019072904930605243
compose_small,5,7,0.0019268808343137305
compose_small,5,8,0.0019568596714331457
compose_small,5,9,0.0019985668283576765
compose_small,6,0,0.0021663155988790096
compose_small,6,1,0.00261983199743554
compose_small,6,2,0.0020861226017586886
compose_small,6,3,0.0020208130008541048
compose_small,6,4,0.001987938606180251
compose_small,6,5,0.0020811212016269565
compose_small,6,6,0.002039780397899449
compose_small,6,7,0.0020504734013229607
compose_small,6,8,0.002090746199246496
compose_small,6,9,0.0020580247975885866
compose_small,7,0,0.0020529133966192604
compose_small,7,1,0.001975782192312181
compose_small,7,2,0.0021878620027564466
compose_small,7,3,0.0020113113918341697
compose_small,7,4,0.002111437602434307
compose_small,7,5,0.0020881606033071876
compose_small,7,6,0.002086617995519191
compose_small,7,7,0.0021171168074943124
compose_small,7,8,0.0020625556004233657
compose_small,7,9,0.002120106399524957
compose_small,8,0,0.0022362284013070165
compose_small,8,1,0.0022124029928818345
compose_small,8,2,0.0022854758077301084
compose_small,8,3,0.002349579194560647
compose_small,8,4,0.0025445685954764486
compose_small,8,5,0.002162446000147611
compose_small,8,6,0.002139763406012207
compose_small,8,7,0.0022339837974868714
compose_small,8,8,0.0021888582035899163
compose_small,8,9,0.00221470840042457
compose_small,9,0,0.002333273203112185
compose_small,9,1,0.0022241059923544526
compose_small,9,2,0.00226471780333668
compose_small,9,3,0.002165594790130854
compose_small,9,4,0.002191079000476748
compose_small,9,5,0.0022797078010626136
compose_small,9,6,0.0023092004004865883
compose_small,9,7,0.0023219082038849594
compose_small,9,8,0.002322099800221622
compose_small,9,9,0.002307481202296913
compose_small,10,0,0.002395359007641673
compose_small,10,1,0.002394483203534037
compose_small,10,2,0.0024200420011766255
compose_small,10,3,0.0025002537993714215
compose_small,10,4,0.002474398200865835
compose_small,10,5,0.002498902997467667
compose_small,10,6,0.0025938909966498613
compose_small,10,7,0.0025802180054597555
compose_small,10,8,0.0025629327981732787
compose_small,10,9,0.0025695885997265577
compose_small,11,0,0.00296686174988281
compose_small,11,1,0.0027788430015789345
compose_small,11,2,0.002898389255278744
compose_small,11,3,0.0030114760011201724
compose_small,11,4,0.002757231006398797
compose_small,11,5,0.0029300122550921515
compose_small,11,6,0.00286074799078051
compose_small,11,7,0.0030858482496114448
compose_small,11,8,0.002907807007431984
compose_small,11,9,0.002908656242652796
compose_small,12,0,0.0038649613270536065
compose_small,12,1,0.0037110899963105717
compose_small,12,2,0.003857547650113702
compose_small,12,3,0.003754731655741731
compose_small,12,4,0.00378444732632488
compose_small,12,5,0.003775615342116604
compose_small,12,6,0.0037904060057674847
compose_small,12,7,0.0038064669934101403
compose_small,12,8,0.003698615008033812
compose_small,12,9,0.003834977668399612
compose_small,13,0,0.006210811989149079
compose_small,13,1,0.005768397502833977
compose_small,13,2,0.005681778013240546
compose_small,13,3,0.005681082519004121
compose_small,13,4,0.005579480988672003
compose_small,13,5,0.005459662002976984
compose_small,13,6,0.006058757979189977
compose_small,13,7,0.005589538486674428
compose_small,13,8,0.006051264004781842
compose_small,13,9,0.005614655499812216
compose_small,14,0,0.00932163099059835
compose_small,14,1,0.009809723997022957
compose_small,14,2,0.009586713975295424
compose_small,14,3,0.010439044999657199
compose_small,14,4,0.009252153511624783
compose_small,14,5,0.009465512004680932
compose_small,14,6,0.00954954998451285
compose_small,14,7,0.010167175001697615
compose_small,14,8,0.009206485992763191
compose_small,14,9,0.009901072509819642
compose_small,15,0,0.016569661034736782
compose_small,15,1,0.016636785003356636
compose_small,15,2,0.016807983978651464
compose_small,15,3,0.01770144497277215
compose_small,15,4,0.017109763983171433
compose_small,15,5,0.017197226989082992
compose_small,15,6,0.017718193994369358
compose_small,15,7,0.018075618019793183
compose_small,15,8,0.018178940983489156
compose_small,15,9,0.017574961006175727
compose_small,16,0,0.03382316400529817
compose_small,16,1,0.03350306395441294
compose_small,16,2,0.03426755598047748
compose_small,16,3,0.035674988001119345
compose_small,16,4,0.03345877898391336
compose_small,16,5,0.03417475300375372
compose_small,16,6,0.03478908399119973
